0.002,0.270749,-19.5773,0.202283,-1.50887,0.270749,-19.5773,0.202283,-1.50887,-6.75454e-17,-11.0753,0.00489055,-0.257453,-0.00144893,-11.4392,-0.242937,-0.411664,0.272198,-8.13804,0.44522,-1.09721,-0.479442,8.85626,0.233666,1.09776
0.004,0.453366,-19.4957,0.277546,-1.47464,0.453366,-19.4957,0.277546,-1.47464,-1.2025e-17,-11.0752,0.0048919,-0.257302,-0.000985747,-11.4838,-0.243297,-0.410168,0.454352,-8.01189,0.520842,-1.06447,-0.463186,8.95619,-0.0263624,1.16628
0.006,0.453367,-19.4959,0.277545,-1.42366,0.453367,-19.4959,0.277545,-1.42366,-6.75454e-17,-11.0753,0.00489055,-0.257453,-0.0049891,-11.5182,-0.243592,-0.411441,0.458356,-7.97769,0.521137,-1.01222,-0.280137,8.61925,0.324309,1.22333
0.008,0.237879,-19.3871,0.184043,-1.55987,0.237879,-19.3871,0.184043,-1.55987,-1.2025e-17,-11.0752,0.0048919,-0.257302,-0.00103645,-11.5431,-0.243707,-0.410054,0.238916,-7.84403,0.427749,-1.14981,-0.429365,8.69674,0.17332,1.24059
0.01,0.205009,-19.4687,0.259302,-1.44071,0.205009,-19.4687,0.259302,-1.44071,-6.75454e-17,-11.0753,0.00489055,-0.257453,0.00403637,-11.5625,-0.243101,-0.411493,0.200972,-7.90622,0.502403,-1.02922,-0.609998,9.23231,0.0676428,1.15593
0.012,0.603113,-19.6861,0.446219,-1.47476,0.603113,-19.6861,0.446219,-1.47476,-1.2041e-17,-11.0754,0.00479711,-0.257405,0.00022227,-11.3461,-0.249507,-0.411279,0.602891,-8.33997,0.695726,-1.06348,-0.472405,8.60797,0.246892,1.24059
0.014,0.851473,-19.3059,0.108784,-1.47481,0.851473,-19.3059,0.108784,-1.47481,-6.75454e-17,-11.0753,0.00489055,-0.257453,-0.00413978,-11.6533,-0.242049,-0.41152,0.855612,-7.65257,0.350833,-1.06329,-0.100934,9.24702,0.0664821,1.15552
0.016,0.0552643,-19.5774,0.352809,-1.47481,0.0552643,-19.5774,0.352809,-1.47481,-6.75454e-17,-11.0753,0.00489055,-0.257453,-0.00036135,-11.6436,-0.242237,-0.411683,0.0556256,-7.93378,0.595046,-1.06313,-0.584177,9.22928,0.0493756,1.18967
0.018,0.420498,-19.4958,0.277552,-1.5258,0.420498,-19.4958,0.277552,-1.5258,-1.2025e-17,-11.0752,0.0048919,-0.257302,-1.69821e-05,-11.6358,-0.242695,-0.410255,0.420515,-7.86002,0.520247,-1.11554,-0.612493,8.95133,0.219043,1.18961
0.02,0.635986,-19.3873,0.370962,-1.44078,0.635986,-19.3873,0.370962,-1.44078,-6.75387e-17,-11.0752,0.00479696,-0.257501,-0.00449118,-11.8651,-0.249269,-0.411639,0.640477,-7.5222,0.620231,-1.02914,-0.283103,9.03375,0.144476,1.13238
0.022,0.237882,-19.5774,0.202292,-1.42369,0.237882,-19.5774,0.202292,-1.42369,-6.75454e-17,-11.0753,0.00489055,-0.257453,-0.000386904,-11.562,-0.241447,-0.41176,0.238269,-8.01547,0.443739,-1.01193,-0.432696,8.54339,0.250063,1.21702
0.024,0.420499,-19.3874,0.184048,-1.45779,0.420499,-19.3874,0.184048,-1.45779,-6.75454e-17,-11.0753,0.00489055,-0.257453,0.000256762,-11.5764,-0.241767,-0.411852,0.420243,-7.81104,0.425816,-1.04593,-0.613056,9.06175,-0.0249818,1.18909
0.026,0.635988,-19.5775,0.352814,-1.50892,0.635988,-19.5775,0.352814,-1.50892,-6.75454e-17,-11.0753,0.00489055,-0.257453,-0.00373011,-11.5869,-0.242385,-0.411859,0.639718,-7.99058,0.595199,-1.09707,-0.282053,9.61502,0.323739,1.13255
0.028,0.0223958,-19.6045,0.184051,-1.47469,0.0223958,-19.6045,0.184051,-1.47469,-1.2025e-17,-11.0752,0.0048919,-0.257302,0.00460561,-11.5941,-0.242392,-0.410395,0.0177902,-8.01035,0.426444,-1.06429,-0.435047,8.83467,0.0673253,1.22386
0.03,0.38763,-19.3059,0.259404,-1.47489,0.38763,-19.3059,0.259404,-1.47489,-6.75387e-17,-11.0752,0.00498399,-0.2575,0.00636087,-11.8391,-0.235668,-0.412118,0.381269,-7.46678,0.495072,-1.06277,-0.809548,8.94955,0.141282,1.18958
